N	종목명	현재가	전일비	등락률	액면가	시가총액	상장주식수	외국인비율	거래량	PER	ROE	토론실
232,ARIRANG 200,"35,195",200,+0.57%,0,"7,444","21,150",0.47,"78,859",N/A,N/A,
233,한섬,"30,100",0,0.00%,500,"7,414","24,630",28.31,"58,690",9.12,8.37,
234,한진,"49,550",750,-1.49%,"5,000","7,407","14,948",14.06,"98,466",50.77,-0.34,
235,NICE,"19,350",0,0.00%,500,"7,330","37,882",22.88,"23,847",91.27,4.39,
236,삼부토건,"5,290",120,+2.32%,"1,000","7,276","137,546",0.20,"8,947,597",151.14,3.66,
237,대신증권,"14,050",0,0.00%,"5,000","7,134","50,773",19.33,"89,589",41.08,4.79,
238,아주캐피탈,"12,350",350,+2.92%,"5,000","7,107","57,546",1.19,"108,440",6.22,12.97,
239,TIGER MSCI Korea TR,"14,095",70,+0.50%,0,"7,090","50,300",0.01,"349,483",N/A,N/A,
240,HANARO 200,"35,005",200,+0.57%,0,"7,036","20,100",0.02,"137,991",N/A,N/A,
241,KINDEX 200,"35,115",205,+0.59%,0,"7,005","19,950",16.42,"240,713",N/A,N/A,
242,잇츠한불,"31,700",50,-0.16%,500,"6,952","21,929",0.43,"282,479",-48.84,-1.11,
243,한세실업,"17,200",100,-0.58%,500,"6,880","40,000",7.31,"114,609",-41.15,-0.06,
244,미래에셋생명,"3,885",15,-0.38%,"5,000","6,877","177,016",5.57,"208,552",6.69,4.98,
245,JW중외제약,"32,850",200,-0.61%,"2,500","6,872","20,920",5.55,"103,400",-23.20,-10.31,
246,동원F&B,"178,000","1,000",-0.56%,"5,000","6,869","3,859",6.53,"5,825",9.60,10.00,
247,하나투어,"49,250","2,300",+4.90%,500,"6,865","13,939",5.66,"591,530",-6.61,-4.22,
248,쿠쿠홀딩스,"96,500",100,-0.10%,500,"6,864","7,112",5.21,"10,388",6.99,12.38,
249,애경산업,"25,700",500,+1.98%,"1,000","6,787","26,410",2.53,"135,701",27.08,12.86,
250,롯데제과,"105,500",500,-0.47%,500,"6,770","6,417",16.79,"6,046",20.68,3.19,
251,한미반도체,"12,850",50,+0.39%,200,"6,618","51,502",3.07,"420,007",15.03,8.85,
252,미래에셋대우2우B,"4,725",0,0.00%,"5,000","6,615","140,000",13.48,"348,872",5.62,N/A,
